Palabra		Frecuencia
--------------------------
i529		726
year		1
f373		396
f372		396
f371		396
gh135		396
owners		1529
beef		660
gh134		396
gh133		396
equity		4587
building		1452
ee131		363
gh132		396
rs11		352
gh131		396
pick		363
manufacturing		13002
i521		726
investing		374
hunting		341
i522		726
aa		341
industry_name_nzsioc		1
textile		792
f360		396
personal		1100
oo21		341
community		330
ee121		363
aa211		341
anzsic06		50985
chemical		1551
millions		40084
i510		726
j601		363
adult		330
j602		363
bb		363
liquor		396
farming		1980
civil		1078
h451		792
h452		792
commission		979
h453		792
cc		396
h01		1529
artistic		352
h03		572
f380		396
h02		572
h05		1529
h04		858
h07		1529
printing		792
food		1584
h06		1320
h09		1529
h08		1529
aa111		330
rs21		352
grocery		792
h440		792
i530		726
information		726
expenditure		1529
dd		363
h10		1529
h12		1529
h11		1529
gh212		396
h14		187
recreational		396
gh211		396
h13		1529
divisions		1452
h18		572
h17		572
fabricated		792
h19		957
horticulture		660
cc311		396
excluding		2090
livestock		660
rubber		792
ff114		396
legal		363
ff115		396
ff116		396
k622		748
k621		748
k624		748
ff111		396
k623		748
ff112		396
ff113		396
ee		363
h21		1529
h20		1529
h23		1529
count		2794
h22		1529
h25		1474
h24		1529
h27		1320
h26		1474
h29		1474
h28		1320
resale		1144
parts		792
income		5984
deer		660
ff		396
h30		1529
technical		726
h32		1474
h31		1529
regulatory		1023
h34		1397
for		1144
ii132		363
h33		1474
ii133		363
h36		1474
training		330
h35		1397
warehousing		1089
h38		572
h37		1474
ee113		363
h39		1529
ee112		363
telecommunications		726
cc211		396
salaries		1716
cc212		396
related		363
i461		726
i462		726
ii131		363
j551		363
j552		363
k642		550
m700		363
k641		550
class		1430
o7552		341
grants		1529
gh		396
h41		1529
h40		1529
pesticide		363
g392		396
g391		396
tangible		1474
cc321		396
material		396
management		363
j541		363
k631		550
j542		363
k632		550
forestry		1364
education		1650
l6711		715
ii111		363
division		6127
i481		363
j570		363
cc511		396
i482		363
property		748
per		2794
order		1023
ii		363
metal		2376
electrical		792
heavy		726
system		363
i471		363
i472		363
j561		363
j562		363
k6330		341
machinery		1188
jj		363
other		12001
air		363
retail		396
products		396
fertiliser		363
government		1529
cc531		396
library		363
j591		363
cc411		396
j592		363
electronic		396
zz11		396
redundancy		1529
kk		374
product		8316
additions		1320
bought		572
stores		792
health		935
veterinary		363
agents		187
rental		1122
i490		363
j580		363
cc521		363
cc522		363
cc523		396
industries		341
return		3058
ll		374
fuel		396
rs212		352
rs211		352
employee		2794
employed		187
rs214		352
arrangement		363
industry_code_nzsioc		1
l672		748
l671		374
n731		363
cc711		396
n732		363
grain		660
mineral		792
petroleum		792
qq111		330
qq112		330
qq113		330
all		341
waste		726
mn		363
n729		363
level		50985
estate		1870
tertiary		330
equipment		1980
real		1870
l661		748
l663		748
cc821		396
l662		748
cc822		396
coal		792
l664		748
n721		363
position		14597
postal		1089
n722		363
oo213		341
basic		1518
hiring		1122
financial		52107
fruit		660
units		1
storage		363
media		726
total		9042
p810		330
auxiliary		550
and		78991
cc611		396
of		4257
design		363
construction		2904
variable_name		1
retailing		3168
department		396
ratios		10901
on		3630
oo		341
poultry		660
or		1529
social		660
l671200		374
control		363
transport		2970
employment		363
opening		1529
structure		1529
processed		572
cc721		396
activities		1056
accommodation		1188
p802		330
drainage		363
p801		330
sport		352
maintenance		352
pp		330
gambling		352
advertising		363
supply		363
professional		1441
disposals		1320
cc911		396
cc912		396
qq		330
based		1584
margin		572
recreation		1056
p821		330
funeral		352
except		748
p822		330
sewerage		363
a020		330
motor		1584
rs		352
pp114		330
rs113		352
dollars		42878
rs112		352
rs111		352
pp111		330
pp113		330
pp112		330
o760		682
current		4422
aa32		341
aa31		330
r911		352
c209		792
beverage		1188
cc811		396
operating		4587
c202		792
r912		352
c201		792
arts		704
r913		352
depreciation		1529
c203		792
variable_code		1
a011		660
surplus		2926
knitted		396
services		15862
store		1584
aa12		330
aa11		330
aa14		330
tour		363
aa13		330
m692		363
m693		363
aa21		341
residential		1430
m691		363
r900		352
m696		363
o754		341
m697		363
o753		341
m694		363
o752		341
m695		363
o751		341
a016		660
a017		660
a018		660
to		1507
a019		660
m699		363
o755		341
a012		660
a013		660
pulp		792
operation		374
a014		660
ratio		2948
a015		660
a041		330
insurance		1749
a042		341
c222		792
medical		330
c221		792
goods		3333
accounting		363
dd11		363
research		363
dd12		363
cc31		396
cc32		396
ll123		374
ll122		374
furniture		1188
school		330
q840		330
tobacco		1188
wood		792
c229		792
up		363
c224		792
c223		792
a030		682
mn212		363
mn213		363
c211		792
variable_category		1
mn211		363
kk111		374
purchases		2101
kk112		374
cc15		396
engineering		1089
o772		1023
o771		1023
cc21		396
ll112		374
r920		352
ll111		374
converted		792
fixed		4114
clothing		1188
s9603		693
c213		792
s9602		693
support		2156
c212		792
s9601		693
internet		363
c214		792
c121		792
polymer		1155
c242		792
c241		792
e301		726
c244		792
c122		792
c243		792
kk122		275
kk121		275
classes		1034
industry_aggregation_nzsioc		1
non		5753
assistance		660
stocks		3058
life		275
agriculture		682
cc53		396
gh21		396
not		572
cc51		396
cc52		396
interest		3410
q860		330
wholesaling		2376
gas		726
c249		792
c246		792
c245		792
e302		726
a052		341
c231		792
mn113		363
delivery		363
mn114		363
mn111		363
c112		396
mn112		363
c111		396
mn115		363
a051		341
ee13		363
ee12		363
ee11		363
q852		330
wages		1716
aquaculture		330
gh11		396
q853		330
gh12		396
cc41		396
gh13		396
q851		330
paid		1529
c239		792
c118		396
c117		396
kk131		275
c119		396
c114		396
accessory		396
c113		396
finance		924
c116		396
q859		330
c115		396
e322		726
e323		726
e321		726
c141		792
taxes		1529
s942		352
closing		1529
cc71		396
cc72		396
road		726
safety		1023
s941		352
liabilities		6006
e329		726
c149		792
e324		726
s949		352
hardware		396
c132		792
c131		792
c134		792
pest		363
c133		792
e310		726
c251		792
cattle		1320
heritage		352
leather		792
metallic		792
cc61		396
courier		726
q871		330
logging		682
preschool		330
c135		792
q879		330
c259		792
primary		792
care		1342
g400		396
donations		3058
c161		792
c162		792
industry_code_anzsic06		1
vehicle		1584
supermarket		396
jj12		363
jj11		363
